"Name","Marke","Kollektion","Zielgruppe","Oberkategorie","Typ","Stoffart","Größe","Format","Status","Link","Bild","Notizen"
"Bügelei & Saumrolle","pattydoo","","Unisex","Sonstiges","Sonstiges","Sonstiges","","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster","","Schnittmuster für Nähzubehör: Bügelei-Form und Saumrolle"
"Handtuch-Turban","pattydoo","","Damen","Accessoires","Sonstiges","Jersey","","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-handtuch-turban","",""
"Tablet-Tasche","pattydoo","","Unisex","Taschen","Sonstiges","Webware","","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-tablet-tasche","",""
"Sternuntersetzer","pattydoo","","Unisex","Sonstiges","Deko","Webware","","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-kostenlos","","Freebie"
"Schlüsselanhänger Herz-Täschchen","pattydoo","","Unisex","Accessoires","Sonstiges","Leder","","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-kostenlos","","Freebie; aus Kunstleder; Varianten: Reißverschluss oder Druckknopf; als Schlüsselanhänger; Anleitung: www.patty.do/herztasche"
"Beanie Mütze","pattydoo","","Unisex","Accessoires","Mütze","Jersey","Kopfumfang 46–64 cm","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-beanie-muetze","","Kinder & Erwachsene; auch wendbar aus 2 Stoffen; Jersey/Viskose/Sommersweat; Video: www.patty.do/beanie"
"Jerseysocken Fancy Socks","pattydoo","","Unisex","Accessoires","Sonstiges","Jersey","Schuhgröße 18–50","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-socken","","Freebie; Varianten: Strümpfe/Kniestrümpfe/Sneakersocken; opt. Zehen- und Ferseneinsätze; Baumwolljersey mind. 5% Elasthan; Overlockmaschine ideal; Video: www.patty.do/video-socken"
"Babyset Pippa","pattydoo","","Baby","Sonstiges","Sonstiges","Jersey","50–92","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-babyset-pippa","","Enthält Wickeljacke (komplett gefüttert, ohne Seitennaht) + Pumphose (hohe Bauch-/Beinbündchen zum Krempeln); Varianten: Jersey-Druckknöpfe oder Wendejacke mit Knöpfen; Ärmelaufschlag 4 cm zum Mitwachsen; Video: www.patty.do/babyhose-video + www.patty.do/babyjacke-video"
"Fledermausshirt & Bluse Josie","pattydoo","","Damen","Oberteil","Bluse","Jersey","32–54","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-fledermausshirt-bluse-josie","","Schnitt A (Shirt, dehnbar): U-Boot- oder Rundhals, opt. Dekostreifen/Spitzeneinsatz an Ärmeln; Schnitt B (Bluse, gewebt): U-Boot-Ausschnitt mit Bündchen; Stoff A: Sommersweat/French Terry/Modalsweat + Bündchen 1×1; Stoff B: fließende Webware PES/Viskose + Fertigbündchen; NZ 0,7 cm; Video: www.patty.do/video-josie"
"Herrenhemd James","pattydoo","","Herren","Oberteil","Shirt","Webware","XS–XXXL (Konf. 40–66)","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-herrenhemd-james","","Hemdkragen mit Steg; doppelte Rückenpasse; Brusttasche; Varianten: lange Ärmel mit Manschetten / kurze Ärmel mit Aufschlägen; opt. Krempelriegel; 4 Videos: www.patty.do/hemden-videos"
"Kinderhalstuch","pattydoo","","Kinder","Accessoires","Sonstiges","Jersey","Einheitsgröße (38–52 cm Kopfumfang)","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-kostenlos","","Freebie; Wendehalstuch aus 2 Jerseystoffen mit Klettband-Verschluss; Anleitung: www.patty.do/kinder-halstuch"
"Kinder-Wendemütze","pattydoo","","Baby","Accessoires","Mütze","Jersey","KL 38–41 cm / M 42–45 cm / GR 46–52 cm Kopfumfang","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-wendemuetze","","Freebie; 3 Größen für Babys & Kleinkinder; wendbar aus 2 Jerseystoffen (je 20×50 cm) + Bündchen (15×50 cm); NZ 0,7 cm; Video: www.patty.do/kinder-halstuch"
"Ofenhandschuhe","pattydoo","","Unisex","Sonstiges","Sonstiges","Webware","","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-kostenlos","","Freebie"
"Colourblock-Pullover Zoey","pattydoo","","Damen","Oberteil","Sweatshirt","Jersey","32–54","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-colourblock-pullover-zoey","https://www.pattydoo.de/sites/default/files/styles/product_teaser/public/media-images/2020-09/papierschnittmuster-zoey-colourblock-pullover-selber-naehen.jpg.webp","Varianten: 3 Teilungen, 2 Teilungen mit Kapuze, ohne Teilung (Basic-Pulli), Sweatkleid, opt. Taschen in Teilungsnähten; Sommersweat/French Terry/Modalsweat; NZ 0,7 cm; Video: www.patty.do/video-zoey"
"T-Shirt Ava","pattydoo","","Damen","Oberteil","Shirt","Jersey","32–54","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-damenshirt-ava","https://www.pattydoo.de/sites/default/files/styles/product_teaser/public/media-images/2023-03/papierschnittmuster-ava-damenshirt-selber-naehen.jpg.webp","Locker-weit (regular); Varianten: Rund- oder V-Ausschnitt, opt. Brusttasche, Ärmel mit Aufschlag oder Saumeinschlag, runder oder gerader Saum; BW-/Viskosejersey, leichter Strick oder Slubjersey; NZ 0,7 cm, Saum 2 cm; Video: www.patty.do/video-ava"
"Damenshorts Summer","pattydoo","","Damen","Unterteil","Shorts","Webware","32–54","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-damenshorts-summer","","2 Längen; zweigeteilter Bund (vorn glatt, seitl./hinten Gummiband); Eingriffstaschen (opt. Schrägband), 2 Gesäßtaschen; Saumaufschlag oder Saumeinschlag; leichte Webware BW/Leinen, Chambray/Musselin/Batist; NZ 1 cm, Saum 2×2,5 cm; Video: www.patty.do/shorts"
"Schultertasche Adora","pattydoo","","Damen","Taschen","Shopper","Leder","Eckig 16×22×6 cm / Rund 22×22×6 cm (H×B×T)","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-schultertasche-adora","","Varianten: eckig und rund; Schaumstoff-Verstärkung (Style-Vil/Soft&Stable); dekorative Steppung; Schultergurt mit Karabinern; opt. Quaste + Label; Video: www.patty.do/video-adora"
"Damentop Livia","pattydoo","","Damen","Oberteil","Top","Jersey","32–54","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-damentop-livia","","Körpernah; Ausschnitt-Abschluss: Bündchen, Jerseystreifen-Einfassung oder Falzgummi; ausschließlich BW- oder Viskosejersey, ideal mit 5% Elasthan; NZ 0,7 cm, Saum 2 cm; passend zu Panty Eve"
"Oversize-Pullover Megan","pattydoo","","Damen","Oberteil","Sweatshirt","Strick","32–54","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-oversize-pullover-megan","","Varianten: Rundhals mit Ärmelvolants (V1) oder Kapuze mit Stufensaum/schrägen Seitennähten (V2); überschnittene Schultern, weite Ärmel; Strick-/Viskosejersey (geschmeidig) oder Sweat/Interlock/Romanit (sportlich); NZ 0,7 cm, Saum 2 cm (Stufensaum Rücken 6 cm); Video: www.patty.do/oversize-pulli"
"T-Shirt Max","pattydoo","","Herren","Oberteil","Shirt","Jersey","S–XXXL","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-t-shirt-max","","3 Ausschnitte (rund, V, Polo), 2 Ärmellängen, opt. Schulterpasse + Brusttasche; Video: www.patty.do/shirt-max"
"Kosmetiktasche Vicky","pattydoo","","Damen","Taschen","Kosmetiktasche","Webware","Klein 22×11×8 cm / Groß 28×14×11 cm","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-kosmetiktasche-vicky","","Freebie; 2 Größen + Vinyl-Variante (einlagig, ohne Futter); Video: www.patty.do/kosmetiktasche-vicky"
"Shopper Mia","pattydoo","","Damen","Taschen","Shopper","Webware","38×28×10 cm (H×B×T)","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-shopper-mia","","Schräges Außenfach mit RV; Verschluss: RV (teilbar, 40 cm) oder Magnetknopf; Träger: Gurtband/Lederriemen/Kordeln; passt DIN A4-Ordner; opt. RV-Innenfach; Video: www.patty.do/video-mia"
"Shopper Wendy","pattydoo","","Unisex","Taschen","Shopper","Webware","42×45 cm","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-stoffbeutel-wendy","","Freebie; Wendetasche mit 2 Seiten; opt. Außenfach + Innentasche; Canvas/Jeans/Cord; Video: www.patty.do/tasche-wendy"
"Kleid Marie","pattydoo","","Damen","Kleid","Kleid","Jersey","32–48","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-damenkleid-marie","","Ärmellos; 3 Stoffteile mit Teilungsnähten; tailliert; ausgestellter Rock mit Falten + geschwungenem Saum; umgeschlagene Ausschnitte; Strukturjersey/Stretch-Jacquard/Scuba oder BW-Jersey 5% Elasthan; NZ 0,7 cm, Hals/Arm 1,5 cm, Rock-Saum 2 cm; Video: www.patty.do/video-sommerkleid"
"Tanktop Kate","pattydoo","","Damen","Oberteil","Top","Jersey","32–48","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-tanktop-kate","","Racerback-Rückenteil; Passen + Seitenteile für Stoff-Kombinationen; gerundeter Saum; ausschließlich elastische Stoffe, ideal BW-Jersey mind. 5% Elasthan; NZ 0,7 cm, Saum 2 cm; Video: www.patty.do/video-kate"
"Shorts Flora","pattydoo","","Damen","Unterteil","Shorts","Webware","36–40","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-shorts-flora","","Freebie; Bogenkante am Saum; leichte, fließende Sommerstoffe (BW, Viskose, Leinen); NZ 1 cm; Video: www.patty.do/shorts-flora"
"Softshelljacke Susan","pattydoo","","Damen","Oberteil","Jacke","Jacken-/Mantelstoffe","32–54","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-damen-softshelljacke-susan","","Varianten: Jacke + Mantel; Stehkragen, abknöpfbare Kapuze, Nahttaschen, geformte Teilungsnähte, gerundeter Saum, zweiteilige Ärmel; ausschließlich Softshell; NZ 1 cm, Ärmelzugabe 2,5 cm; Video: www.patty.do/softshell-jacke-video"
"Wasserfallshirt Scarlett","pattydoo","","Damen","Oberteil","Shirt","Jersey","32–54","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-wasserfall-shirt-scarlett","","4 Ärmellängen; weich fallender Viskosejersey/Polyester/Modal empfohlen; kein Baumwolljersey; NZ 0,7 cm inkl.; Saum 2 cm; Video: www.patty.do/shirt-scarlett + www.patty.do/video-liv (Ärmel)"
"Rollmäppchen Daisy","pattydoo","","Unisex","Sonstiges","Sonstiges","Webware","44×18 cm (B×H, offen)","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-rollmaeppchen-daisy","","Freebie; Stiftefach mit Unterteilungen + verschließbares Innenfach mit Druckknopf; Variante mit Kunstleder/Korkstoff möglich; Video: www.patty.do/maeppchen"
"Sweatkleid Ronja","pattydoo","","Damen","Kleid","Kleid","Strick","32–54","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-kapuzen-sweatkleid-ronja","https://www.pattydoo.de/sites/default/files/styles/product_teaser/public/media-images/2020-07/hoodie_kleid_schnittmuster_sweatstoff.jpg.webp","Varianten: Hoodie mit Leistentaschen oder Rundhals mit Seitenteilen; dehnbarer Sweat/Stricksweat (auch für Bündchen); NZ 0,7 cm (Leistentaschen 1 cm); Video: www.patty.do/hoodie-kleid-video"
"Kosmetiktasche Geo-Bag","pattydoo","","Damen","Taschen","Kosmetiktasche","Leder","Supermini 6×10×5 cm / Mini 8×13×6 cm / Klein 10×18×7 cm / Groß 14×24×11 cm","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-geo-bag","","Freebie; 4 Größen (inkl. Mini + Supermini); 1 Schnittteil mit besonderer Faltform; Volumenvlies; Endlos-RV mit 2 Schiebern; opt. Quastenanhänger; Video: www.patty.do/geo-bag"
"Trägertop Maya","pattydoo","","Damen","Oberteil","Top","Jersey","","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-traegertop-maya","",""
"Wendetasche Milly","pattydoo","","Unisex","Taschen","Shopper","Webware","Groß ca. 55×44×12 cm / Kind ca. 40×32×8 cm","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-wendetasche-milly","","2 Größen; wendbar mit Kellerfalten; Video: www.patty.do/wendetasche-milly"
"Panty Eve","pattydoo","","Damen","Lingerie","Slip","Jersey","32–48","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-panty-eve","","Freebie; Damenunterhose mit kurzen Beinen; elastischer BW- oder Viskosejersey ca. 140×30 cm; Gummiband 0,7 cm; opt. Satinschleifen/Knöpfe; NZ 0,7 cm, Hosenbeine 1 cm; passend zu Top Livia; Video: www.patty.do/panty-eve"
"Bikini Victoria","pattydoo","","Damen","Lingerie","Bikini","Jersey","32–48","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-bikini-victoria","","Varianten Oberteil: Triangel-Bikini (opt. mit Blende), Tankini (glatt oder mit Raffung → Umstandstankini); Varianten Unterteil: Slip + Panty; NZ 0,7 cm, Beinausschnitte 1 cm, Tankini-Saum 2 cm; Video: www.patty.do/victoria-video"
"Leggings Lillian","pattydoo","","Damen","Unterteil","Leggings","Jersey","32–54","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-leggings-lillian","","2 Längen (lang + ¾); 4 Saumabschlüsse: Bündchen, Raffung mit Bändchen, Schleifen, Tropfenverschluss; elastische Stoffe mit Elasthan-Anteil; ideal: 95% BW/Viskose + 5% Elasthan oder 81% PES + 19% Elasthan; NZ 0,7 cm; Hosenbund 2,5 cm; Video: www.patty.do/video-leggings"
"Geldbörse SnapPap","pattydoo","","Unisex","Accessoires","Sonstiges","Sonstiges","10×12 cm","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-geldborse-snappap","","SnapPap (Papier/veganes Leder); vernähbar, bedruckbar, waschbar; Variante mit Stoff möglich; 26 cm Gummiband + 1 Kam Snap; Video: www.patty.do/snappap"
"Tasche Bonnie & Betty","pattydoo","","Unisex","Taschen","Shopper","Webware","","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-tasche-bonne-betty","","2 Größen: Messenger Bag 36×30×10 cm (Bonnie), Kindergartentasche/Lenkertasche 20×16×6 cm (Betty); Canvas/Jeans/Cord; Video: www.patty.do/tasche-bonnie-betty"
"Utensilo","pattydoo","","Unisex","Sonstiges","Sonstiges","Webware","","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-utensilo","",""
"Teddy Wärmflasche","pattydoo","","Unisex","Sonstiges","Sonstiges","Sonstiges","Einheitsgröße","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster","","Freebie; Wärmflaschenbezug in Teddybär-Optik; Plüsch/Bouclé empfohlen; Anleitung: www.patty.do/waermflasche"
"Pompadour Zugbeutel","pattydoo","","Unisex","Taschen","Sonstiges","Webware","Klein ca. 7 cm hoch / Groß ca. 10 cm hoch","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster","","Freebie; 2 Größen; Stoffbeutel mit Zugbändern; Innenfächer; als Schmuck-/Kosmetikbeutel oder Abendtasche; Video: www.patty.do/zugbeutel"
"Sommerjacke Kylie","pattydoo","","Damen","Oberteil","Jacke","Webware","Einheitsgröße (ca. S–L / BU 85–92 cm)","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-sommerjacke-kylie","","Freebie; Kimonojacke; leichte BW/Viskose/PES-Webware; 110 cm Stoff (Breite 140 cm) + ca. 1,8 m Schrägband (3–3,5 cm); NZ 0,7 cm (vorn/Hals) + 1,5 cm sonst; passend zu Top Livia; Video: www.patty.do/jacke-kylie"
"Bistroschürze Rose","pattydoo","","Unisex","Sonstiges","Sonstiges","Webware","Einheitsgröße","Magazin","Vorhanden","https://www.pattydoo.de/schnittmuster/schuerze-rose","","Magazin-Schnittmuster; Bistroschürze mit Faltenband, Bindebändern, Taschen; gewebter BW-Stoff + ca. 150 cm Schrägband; Video: www.pattydoo.de/schnittmuster/schuerze-rose"
